id_articulo,articulo,Moneda_precio,precio_venta1,Marca
1,PANETONCITO X 12,S/.,0,EM
2,MINI GN  X 40 SURTIDO,S/.,0,SAN JORGE
3,MINI GELATINA CJ X 410 UND,S/.,0,IMPORTADOS
4,M Y M MINIS X 12KL,S/.,0,PERU FARMA
5,MOROCHA STIK 14 X 6,S/.,0,NESTLÉ
6,soda sayon x 10,S/.,2.5,SAYON
7,SNICKERS  X 48 UN X 52.7 GR,S/.,2.5,PERU FARMA
8,M Y M X 48,S/.,0,PERU FARMA
9,WOZO  GALACTIC X 24 UND,S/.,0,WAYKI
10,HUEVITO MINI WOZO  CJ X 48 UND.,S/.,0,WAYKI
11,MOROCHA WAFER 27X 6,S/.,0,NESTLÉ
12,PRINCESA BARRA 28 X 20 X 30GR,S/.,0,NESTLÉ
13,YO YO,S/.,0,HERBI
14,SORRENTO 30X20X32 GR,S/.,0,NESTLÉ
15,PANETON DONOFRIO BL. 6 X 900GR,S/.,0,NESTLÉ
16,PANETON BUON NATALE BOLSA 6 X 800GR,S/.,0,NESTLÉ
17,TRIANGULO BARRA 22X200GR,S/.,0,NESTLÉ
18,PANETON CHOCOTON CJ 6X500gr,S/.,0,NESTLÉ PERU
19,SUBLIME CLASICO 27 X 24,S/.,0,NESTLÉ
20,TRIANGULO CLAS. 24 X 22 X 30gr,S/.,0,NESTLÉ
21,PANETON DONOFRIO CJA 6X900GRMS,S/.,0,NESTLÉ
22,SUBLIME SONRISA BLANCO 21 X 12 X 40GR,S/.,0,NESTLÉ
23,TRIANGULO MARMOLEADO 24 X 22 X 33GR,S/.,0,NESTLÉ
24,MINI MANI 28 X 12,S/.,0,NESTLÉ
25,MORCHA TACO X 56,S/.,0,NESTLÉ
26,Princesa blanco bl. 18 X 18 x 8gr,S/.,0,NESTLÉ
27,PRINCESA CORAZON X 144GR,S/.,0,NESTLÉ PERU
28,SUBLIME BOLSA 15X18X8GR,S/.,0,NESTLÉ
29,TRIANGULO DOY PACK 12 X 18 X 8 GR,S/.,0,NESTLÉ
30,PANETON CHOCOTON MANJAR6X500gr,S/.,0,NESTLÉ PERU
31,PANETON CHOCOTON VAINILLA6X500gr,S/.,0,NESTLÉ PERU
32,PANETON CHOCOTON BL 6X500gr,S/.,0,NESTLÉ PERU
33,PRINCESA LATA 15X18X8GR,S/.,0,NESTLÉ PERU
34,KIT KAT PAPA NOEL  9X6X29GR,S/.,0,NESTLÉ PERU
35,MOROCHAS 18X8X30GR,S/.,0,NESTLÉ PERU
36,SODA PLAIN X 4 PK X 6,S/.,2,ALICORP SA
37,PRINGLES 12X37GR,S/.,0,PERU FARMA
38,SODA PLAIN X 20 UN X 100 GR.,S/.,1,ALICORP SA
39,AMBROSIA X 36 BL X 240 GR.,S/.,0,AMBROSOLI
40,MIX SODA X 35 BL X 60,S/.,3,AMBROSOLI
41,TURRUNAZO X 20 BL X 100,S/.,5,AMBROSOLI
42,CHICLE ANGRY BIRDS X 12 DP X 100,S/.,0,ARCOR
43,PRIVILEGIO 10 BL X 42,S/.,0,ARCOR
44,PRESTACIÓN DE SERVICIO,S/.,0,Publicidad
45,FRUTICA LOVE X 16 BL X 100,S/.,0,COLOMBINA
46,GLOBO POP LED PRINT X 12 DP X 20,S/.,0,CONFIPERU
47,GALLETA LATA X 18,S/.,13,COSTA
48,GALLETA SURT. AZUL X 6,S/.,0,COSTA
49,VIZZIO ESTUCHE X 15 UN X 89 GR.,S/.,0,COSTA
50,BURBUJITAS X 60 TR X 8,S/.,0,DOS CERRITOS
51,SUBLIME GALLETA X 12 DP X 24,S/.,0,NESTLÉ
52,SUBLIME MINI ALMENDRA X 28 TR X 12,S/.,10,NESTLÉ
53,MEGA WAFER GN CHOCOLATE X 16 X 61 GR.,S/.,0,SAN JORGE
54,MEGA WAFER GN FRESA X 16 X 61 GR.,S/.,0,SAN JORGE
55,MEGA WAFER GN VAINILLA X 16 X 61 GR.,S/.,0,SAN JORGE
56,RELLENITA DIA SURT. X 5 PK X 8,S/.,2,SAYON
57,VAINILLA DIA X 12 PK X 250 GR.,S/.,1.5,SAYON
58,WINTER DE LECHE X 35 DP X 30,S/.,0,WINTERS
59,FINOS X 56 DP X 80,S/.,0,WINTERS
60,TIC TAC SURTIDO 24 DP X 12,S/.,12.5,YICHANG
61,MARSHMALIOWS MINI COLOR X 24 BL 100GR,S/.,0,GUANDY
62,SUBLIME DUO 20X24X28GR,S/.,0,NESTLÉ
63,M Y M 1KL,S/.,0,PERU FARMA
64,GASTOS REPRESENTATIVOS,S/.,0,ANDINA
65,MOMENTSX 12,S/.,0,COLOMBINA
66,SURTIDA COLOMBINA X 24,S/.,0,COLOMBINA
67,CORONITA CHOCO 28PKX6X38GR,S/.,0,MONDELEZ
68,SOLEI,S/.,0,SAN JORGE
69,SODA SAN JORGE 28X12 ,S/.,0,SAN JORGE
70,WAFER VAINILLA DIA  8X5,S/.,0,ALICORP
71,WAFER CHOCOLATE DIA 5X8,S/.,0,ALICORP
72,VAINILLA DIA X 100,S/.,0,ALICORP SA
73,TEJANA 8 X 480GR,S/.,0,SAYON
74,CASINO BLACK VAINILLA X 30,S/.,0,ALICORP SA
75,MINI TENTACION X 12,S/.,0,ALICORP
76,CHOCO V 8X6,S/.,0,VICTORIA
77,WAFER FRESA DIA 5X8,S/.,0,ALICORP
78,MINI RICCOCHIPS X 24,S/.,0,ANDINA
79,CHOCO LUCMA 12 X 500GRM,S/.,0,ANDINA
80,PANETON RICCOS CJ 6 X 900 GR,S/.,0,ANDINA
81,CHAPLIN X 40,S/.,0,OLBAL
82,MECANO MANJAR 8 X 32 X 19GR.,S/.,0,COSTA
83,TRIFRUNA 8X420GR,S/.,0,AMBROSOLI
84,FRUGELE AMBRUJOS X 27 BLS,S/.,0,AMBROSOLI
85,AMBROMELLOWS BLANCO X 12,S/.,0,AMBROSOLI
86,BASTONES DE NAVIDAD 24X144GR,S/.,0,AMBROSOLI
87,PACK NAVIDEÑO X 30,S/.,0,COSTA
88,CHOCODONUTS  REGALO  16X222GR,S/.,0,COSTA
89,CHOCMAN DOBLE MANJAR  8X 6,S/.,0,COSTA
90,CARITA FIESTA 12 X 40UND,S/.,0,COSTA
91,HECHIZO HALLOWEN X25X300GR,S/.,0,AMBROSOLI
92,PANETON GLORIA CJ 6X900GR,S/.,0,GLORIA
93,PANETON GLORIA BL 6X900GR,S/.,0,GLORIA
94,PURO AMOR CJ 6X 900GR,S/.,0,TODINO
95,PANETON TODINO CJA 6 X 900 GRMS,S/.,0,TODINO
96,TOFFEE D. LECHE 15BL. X110UND,S/.,0,WINTERS
97,PANETON WINTERS CJ 6 X 900GR,S/.,0,WINTERS
98,SODA SAYON X3KG,S/.,0,SAYON
99,PANETON CHOCOLUCUMA 12X500GRAMOS,S/.,0,ANDINA
100,SANDIA ARCOR 20B X100UND,S/.,0,ARCOR
101,SUBLIME BOX CJA 24 X20 UN,S/.,0,NESTLÉ
102,PANETON BAUDUCCO 18 X 400GRAMOS,S/.,0,PERU FARMA
103,BAUDUCO 6 X 750GRM,S/.,0,BAUDUCCO
104,BAUDUCOX 24,S/.,0,PERU FARMA
105,BAUDUCCO CHOCO 18X500G,S/.,0,BAUDUCCO
106,SODA SAN JORGE X 20,S/.,0,SAN JORGE
107,VAINILLA SAN JORGE X 20,S/.,0,SAN JORGE
108,SUBLIME GALLETA  12 X 24,S/.,0,NESTLÉ
109,GOLOSINAS,S/.,0,GOLOSINAS
110,SODA V SABOR PLAIN 4 PACKS DE 6 PAQUETES,S/.,0,VICTORIA
111,CHOCMAN 14X6X30GR,S/.,0,COSTA
112,DOS CABALLOS X 12,S/.,0,PERU FARMA
113,CHOCMAN CJA X 60,S/.,0,COSTA
114,PRINGLES ORIGINAL GRANDE X 14 UN X 149 GR.,S/.,6.5,QUIMICA SUIZA
115,M Y M X 48,S/.,0,PERU FARMA
116,BIG BEN BLANCO LINEAS X 12DP X 24UN,S/.,0,LABOCER
117,EGGO TOYS X 6DP X 24UN,S/.,0,IMPORTADOS
118,BIEN KREMALIM X 8DP X 24UN X 75GR.,S/.,0,IMPORTADOS
119,LEXUS CHOCOLATE X 8 BL X 100,S/.,0,IMPORTADOS
120,PELOTITAS CHOCOLATE  X1K,S/.,0,LS ANDINA
121,PANETON CHOCOTON Bl X500gr,S/.,0,NESTLÉ PERU
122,PULPIN X24 UN,S/.,0,AGEPER
123,DONOFRIO CAJA,S/.,0,NESTLE
124,PANETON DONOFRIO LATA,S/.,0,NESTLE
125,PANETON BUON NATALE BOLSA X 800GR,S/.,0,NESTLÉ
126,PANETON BUON NATALE CAJA 6 X 800GR,S/.,0,NESTLE
127,PANETON CHOCOTON MANJAR X500gr,S/.,0,NESTLÉ PERU
128,PANETON CHOCOTON VAINILLA X 500 gr,S/.,0,NESTLE
129,PANETON SAYON BOLSA  6 X 900GR,S/.,0,SAYON
130,PANETON MOTTA CAJA 6  X 750GR,S/.,0,NESTLE
131,PANETON SAYON CAJA X 6 CJ X900GR,S/.,0,SAYON
132,PANETON RICCOS BOLSA  6  X 900 GR,S/.,0,ANDINA
133,PANETON BLANCA FLOR BOLSA  X 6  X900 GR,S/.,0,ALICORP
134,PANETON BLANCA FLOR CAJA  6 X 900 GR,S/.,0,ALICORP
135,LENTEJAS A GRANEL X 1K,S/.,0,NESTLÉ
136,AMBROSITO A GRANEL X500 GR,S/.,0,AMBROSOLI
137,TRUFLE  BOLSA,S/.,0,IMPORTADOS
138,PALETA PIERO,S/.,0,IMPORTADOS
139,MOROCHA WAFER X 8 DP X12 UND,S/.,0,NESTLE
140,AMBROLYPTUS X 500GR,S/.,0,AMBROSOLI
141,GOMAS LOOP X 5020 GR,S/.,0,AMBROSOLI
142,MILLOWS ANGELITOS X 200GR,S/.,0,IMPORTADOS
143,WHOO X 8 DP X 24 UND,S/.,0,IMPORTADOS
144,SPARKIE LINEA X 32 BL X70 UND,S/.,0,MONDELEZ
145,PRINCESA BOX x 16 UND,S/.,0,NESTLÉ
146,TOFF DE LECHE X 113 UND,S/.,0,AMBROSOLI
147,MILKYWAY,S/.,0,IMPORTADOS
148,M&M AMARILLO X 48 UND X 49 GR,S/.,0,IMPORTADOS
149,MAXMELLOWS X 250 GR,S/.,0,LABOCER
150,PANETON COSTA BOLSA X 6 UND X 900GR,S/.,0,AMBROSOLY
151,PRINCESA BOX 24 X 16 x 8 gr,S/.,0,NESTLÉ
152,IMPUESTO BOLSAS PLASTICAS,S/.,0,CORPORACION CARINA
153,BUBBLE GUM,S/.,0,IMPORTADOS
154,GELATINA POTE X 100,S/.,0,IMPORTADOS
155,MOMENTS BUTTER COOKIES,S/.,0,COLOMBINA
156,GALLETA TRIANGULO COLMBINA X 252 GR,S/.,0,COLOMBINA
157,CRYSMELO BLANCO X 20 BL X 335 GR.,S/.,5,LABOCER
158,CHIN CHIN PATICREMA X 24 DP X 8,S/.,0,WINTERS
159,CASINO BLACK TACO,S/.,0,ALICORP
160,TIC TAC NARANJA 24 DP X 12,S/.,12.5,YICHANG
161,PANETON WINTERS BL X 900GR,S/.,0,WINTERS
162,PANETON WINTERS CJ. X 900GR,S/.,0,WINTERS
163,MARSHMELLOWS MINI COLOR X 100GR,S/.,0,GUANDY
164,MELLOWS ANGELITO,S/.,0,GUANDY
165,PANETON DONOFRIO  BL X 900 GR.,S/.,19.5,NESTLÉ
166,SORRENTO  X 20,S/.,21,NESTLÉ
167,DORE X 24 PK X 6,S/.,2.5,NESTLÉ
168,SUBLIME BOX X 20 UN,S/.,0,NESTLÉ
169,PANETON DONOFRIO BL X 900GR,S/.,0,NESTLÉ
170,LENTEJA SOBRE X 24 DP X 24,S/.,9.8,NESTLÉ
171,PANETON B. NATALE  BL X 900 GR.,S/.,14.5,NESTLÉ
172,DORE FAM. X 27 UN X 230 GR.,S/.,3,NESTLÉ
173,TRIANGULO SENSA. X 24 DP X 9,S/.,14,NESTLÉ
174,TRIANGULO BARRA X 200GRMS,S/.,0,NESTLÉ
175,PANETON CHOCOTON X 500gr,S/.,14,NESTLÉ
176,SUBLIME WAF.POW. X 27 PK X 6,S/.,5,NESTLÉ
177,SUBLIME CLASICO X 27 DP X 24,S/.,24,NESTLÉ
178,LENTEJA CAJA X 24 DP X 20,S/.,16,NESTLÉ
179,SUBLIME ALM.BAR. X 27 DP X 10,S/.,17,NESTLÉ
180,TRIANGULO CLAS.  22X30gr,S/.,24,NESTLÉ
181,BESO DE MOZA X 20und,S/.,14.5,NESTLÉ
182,PRINCESA BOLSA18X18X8GR,S/.,0,NESTLÉ
183,MOROCHAS SNACK 8 TR X 8,S/.,7,NESTLÉ
184,PANETON DONOFRIO CJA X 900GR,S/.,0,NESTLÉ
185,PRINCESA BARRA X 20,S/.,21,NESTLÉ
186,MOROCHAS  PK X 8,S/.,5.5,NESTLÉ
187,SUBLIME GALLETA X 24,S/.,0,NESTLÉ
188,SUBLIME DUO  X 24,S/.,16,NESTLÉ
189,SUBLIME SONRISA BLANCO x 12,S/.,15,NESTLÉ
190,TRIANGULO MARMOLEADO  X 22,S/.,24,NESTLÉ
191,BOMBON MULTIPACK X 15 BL X 45,S/.,15,NESTLÉ
192,SUBLIME EXTREMO X 24 DP X 12,S/.,21,NESTLÉ
193,SUBLIME STICK X 28 DP X 30,S/.,17.5,NESTLÉ
194,KIT KAT 12X41.5GRMS,S/.,0,NESTLÉ
195,MOROCHA TACO X 56 UN X 75 GR.,S/.,2,NESTLÉ
196,PRINCESA BARRA Blanco. X 28 DP X 20,S/.,20,NESTLÉ
197,Princesa  blanco bl X 18 UND,S/.,0,NESTLÉ
198,SUBLIME SONRISA X 24 DP X 20,S/.,25,NESTLÉ
199,PRINCESA CORAZON 21X18X8GR,S/.,0,NESTLÉ
200,SUBLIME DOY PACK X144GR,S/.,0,NESTLÉ PERU
201,SUBLIME BITTER X 12,S/.,0,NESTLÉ
202,TRIANGULO DOY PACK 18X8GR,S/.,0,NESTLÉ PERU
203,MOROCHA BARQUILLO STICK X 14 PK X 6,S/.,5.5,NESTLÉ
204,MOROCHA WAFER X 27 PK X 6,S/.,3.5,NESTLÉ
205,MOROCHA WAFER XL  DP X 12,S/.,9,NESTLÉ
206,PANETON BUON NATALE CJ X 800GR,S/.,0,NESTLÉ
207,PANETON MOTTA X750GR,S/.,0,NESTLÉ
208,KIT KAT PAPA NOEL X 174GR,S/.,0,NESTLÉ PERU
209,OREO VAINILLA X 28 PK X 6,S/.,0,MONDELEZ
210,HALLS ROJO X 30 DP X 12,S/.,8.5,MONDELEZ
211,HALLS AZUL X 30 DP X 12,S/.,8.5,MONDELEZ
212,HALLS NEGRO X 30 DP X 12,S/.,8.5,MONDELEZ
213,HALLS MORA X 30 DP X 12,S/.,8.5,MONDELEZ
214,HALLS SANDIA X 30 DP X 12,S/.,8.5,MONDELEZ
215,HALLS FRUIT-MIX X 30 DP X 12,S/.,8.5,MONDELEZ
216,CHICLETS adams X 100,S/.,9,MONDELEZ
217,BUBBALOO CEREZA X 32 DP X 70,S/.,7.5,MONDELEZ
218,BUBBALOO FRESA X 32 DP X 70,S/.,7.5,MONDELEZ
219,BUBBALOO BANANA X 32 DP X 70,S/.,7.5,MONDELEZ
220,BUBBALOO RETO ACIDO X 32 DP X 70,S/.,7.5,MONDELEZ
221,CHICLETS ADAMS X 50,S/.,14,MONDELEZ
222,BUBBALOO FRUTA X 32 DP X 70,S/.,7.5,MONDELEZ
223,BUBBALOO ZOMBIES X 32 DP X 70,S/.,7.5,MONDELEZ
224,CLOREST X 54 DP X 100,S/.,10,MONDELEZ
225,CLOREST X 50 PD X 20,S/.,14,MONDELEZ
226,CREAM CRACKER X 60 UN X 73.5 GR.,S/.,1,MONDELEZ
227,CREAM CRACKER X 28 PK X 6,S/.,0,MONDELEZ
228,CREAM CRACKER FAM. X 24 UN X 295 GR.,S/.,2.8,MONDELEZ
229,CHOCOSODA X 32 PK X 6,S/.,3.5,MONDELEZ
230,OREO FRESA X 28 PK X 6,S/.,0,MONDELEZ
231,CLOREST MASTIC. MENTA X 20 DP X 20,S/.,7.5,MONDELEZ
232,OREO ROLLO FRESA X 30 RL X 126 GR.,S/.,1.5,MONDELEZ
233,HALLS SILVERMINT X 30 BL X 100,S/.,7,MONDELEZ
234,HALLS SILVERMINT X 30 DP X 12,S/.,8.5,MONDELEZ
235,OREO CARAMELO X 28 PK X 6,S/.,0,MONDELEZ
236,DOÑA PEPA PACK X 6,S/.,0,MONDELEZ
237,DOÑA PEPA PACK 36X6X23GR,S/.,0,MONDELEZ
238,RITZ PLAIN X 24 PK X 6,S/.,2.5,MONDELEZ
239,RITZ QUESO X 20 PK X 6,S/.,3,MONDELEZ
240,RITZ TACO X 64 UN X 67 GR.,S/.,0.75,MONDELEZ
241,VAINILLA FIELD X 24 PK X 6,S/.,3,MONDELEZ
242,VAINILLA FIELD FAM. X 32 UN X 147 GR.,S/.,1.5,MONDELEZ
243,SODA FIELD ORIGINAL X 6,S/.,2,MONDELEZ
244,SODA FIELD CJA 36X6,S/.,0,MONDELEZ
245,SODA FIELD FAMILIAR X 28 UN X 140 GR.,S/.,1.5,MONDELEZ
246,CLUB SOCIAL REG. X 32 PK X 6,S/.,2.5,MONDELEZ
247,OREO ROLLO REGULAR X 30 RL X 126 GR.,S/.,1.5,MONDELEZ
248,TRAVESURA X 7 TIRAS X 8,S/.,1,MONDELEZ
249,CHARADA CHOC. X 28 PK X 6,S/.,3,MONDELEZ
250,GRANUTS MANI C/PASAS X 8 DP X 12,S/.,0,WINTERS
251,GRANUTS MANI C/ARANDANOS X 8 DP X 12,S/.,0,WINTERS
252,GRANUTS PARTY MIX X 8 DP X 12,S/.,0,WINTERS
253,WINTERS KREMANI X 6 DP X 12,S/.,0,WINTERS
254,WINTERS FLOW X 12 DP X 6,S/.,0,WINTERS
255,COFFE DELIGHT X 18 BL X 100,S/.,0,COLOMBINA
256,MILLOWS CARITAS/FIGURITAS X 12 BL X 145 GR.,S/.,0,COLOMBINA
257,MILLOWS CAPUCHINO INDV. X 8 BL X 50,S/.,5,COLOMBINA
258,MILLOWS OSO X 8 BL X 50,S/.,0,COLOMBINA
259,MOMENTS BUTTER COOKIES 280GRM,S/.,0,COLOMBINA
260,MILLOWS FOGATA X 12 BL X 145 GR.,S/.,0,COLOMBINA
261,MILLOWS CORAZON X 8 BL X 50,S/.,0,COLOMBINA
262,GRISSLY GUSANOS 12 DP X 12,S/.,0,COLOMBINA
263,GRISSLY OSO 12 DP X 12,S/.,0,COLOMBINA
264,MILLOWS  MARGARITA X 12 BL X 145 GR.,S/.,0,COLOMBINA
265,MILLOWS ARCOIRIS X 12 BL X 145 GR.,S/.,0,COLOMBINA
266,MILLOWS CREAM INDV. X 8 BL X 50,S/.,5,COLOMBINA
267,B.B.B. FRUIT PUNCH X 15 BL X 24,S/.,0,COLOMBINA
268,B.B.B. MARACUFRESA X 15 BL X 24,S/.,0,COLOMBINA
269,MILLOWS CILINDRO BLANCO X 12 BL X 145 GR.,S/.,0,COLOMBINA
270,MILLOWS SURTIDO X 12 BL X 145 GR.,S/.,0,COLOMBINA
271,MILLOWS BLANCO X 300GR,S/.,0,COLOMBINA
272,WAFER COL.IND FRE. X 24 PK X 24,S/.,3.5,COLOMBINA
273,WAFER COL.IND CHC. X 24 PK X 24,S/.,3.5,COLOMBINA
274,WAFER COL.IND VNL. X 24 PK X 24,S/.,3.5,COLOMBINA
275,NUCITA X 24 DP X 12,S/.,3.5,COLOMBINA
276,BON BON BUM  SURTIDO X 24,S/.,0,COLOMBINA
277,BON BON BUM  FRESA X 24,S/.,0,COLOMBINA
278,GALLETA DE MANTEQUILLA 252GR ARBOLITO,S/.,0,COLOMBINA
279,SURTIDO COLOMBINA X 200GR,S/.,0,COLOMBINA
280,FITNESS AJONJOLI,S/.,0,NESTLÉ
281,DUCALES TACO  X 330 GR.,S/.,0,WINTERS
282,CORONITA CHOC  X 6,S/.,3,MONDELEZ
283,OREO COOKIES AND CREAM X 28 PK X 6,S/.,0,MONDELEZ
284,HALLS ROJO X 30 BL X 100,S/.,7,MONDELEZ
285,HALLS AZUL X 30 BL X 100,S/.,7,MONDELEZ
286,HALLS NEGRO X 30 BL X 100,S/.,7,MONDELEZ
287,HALLS MORA X 30 BL X 100,S/.,7,MONDELEZ
288,TRIDENT MENTA X 30 DP X 18,S/.,11.5,MONDELEZ
289,TRIDENT MORA X 30 DP X 18,S/.,11.5,MONDELEZ
290,TRIDENT SANDIA X 30 DP X 18,S/.,11.5,MONDELEZ
291,TRIDENT TROPICAL X 30 DP X 18,S/.,11.5,MONDELEZ
292,TRIDENT FRESHMINT X 30 DP X 18,S/.,11.5,MONDELEZ
293,TRIDENT FRESH HERBAL X 30 DP X 18,S/.,11.5,MONDELEZ
294,SPARKIES X 24 DP X 20,S/.,13.5,MONDELEZ
295,BIG BEN AZUL CHOCOLATE X 18 BL X 100,S/.,5.5,LABOCER
296,GRAN BIG BEN SURTIDO X 18 BL X 100,S/.,8,LABOCER
297,OKA LOKA NANOS X 12 DP X 12,S/.,0,LABOCER
298,BIG BEN CAFÉ GOURMET X 18 BL X 100,S/.,8,LABOCER
299,BIG BEN BLANCO X 18 BL X 100,S/.,5.5,LABOCER
300,NEX LIMON X 12 DP X 24,S/.,5,LABOCER
301,NEX MENTA X 12 DP X 24,S/.,5,LABOCER
302,BARRILETE X 18 BL X 50,S/.,0,LABOCER
303,NEX FRESA X 12 DP X 24,S/.,5,LABOCER
304,SPLOT BOLA X 16 BL X 10,S/.,0,COLOMBINA
305,SPLOT ACIDOX5 X 18 DP X 24,S/.,0,COLOMBINA
306,SPLOT DIVER TATTOO2 X 18 DP X 120,S/.,0,COLOMBINA
307,HUEVO CANCUN,S/.,0,COSTA
308,HUEVO FRUGELE,S/.,0,AMBROSOLI
309,ANIMALITO X 3 BL X 1 KG.,S/.,5,SAN JORGE
310,AGUA PEBESAL X 450 GR.,S/.,0,SAN JORGE
311,MUNICION X 8 BL X 450 GR.,S/.,4,SAN JORGE
312,COCONUT X 8 BL X 450 GR.,S/.,4,SAN JORGE
313,FRUTA MIXTA X 8 BL X 450 GR.,S/.,4,SAN JORGE
314,SODA GOURMET X 12 PK X 250 GR.,S/.,1.5,SAN JORGE
315,MINI  GN RELLE. FRESA  BL X 50,S/.,6,SAN JORGE
316,MINI GN RELLE. COCO  X 50,S/.,6,SAN JORGE
317,MINI GN RELLE. CHOCOLATE  BL X 50,S/.,6,SAN JORGE
318,BLACK OUT CHOCOLATE X 8 PK X 4,S/.,2.5,SAN JORGE
319,BLACKOUT MENTA X 8 PK X 4,S/.,2.5,SAN JORGE
320,COCONUT X 25 BL X 55 GR.,S/.,0.6,SAN JORGE
321,FRUTA MIXTA X 25 BL X 55 GR.,S/.,0.6,SAN JORGE
322,LONCHERITA MUNICION X 25 BL X 55 GR.,S/.,0.6,SAN JORGE
323,PANETON POESSIAX500GR,S/.,0,SAN JORGE
324,PANETON POESSIA 6X500GR,S/.,0,SAN JORGE
325,RELLENITA GN COCO X 5 PK X 8,S/.,2.2,SAN JORGE
326,RELLENITA GN CHOCOLATE X 5 PK X 8,S/.,2.2,SAN JORGE
327,RELLENITA GN FRESA X 5 PK X 8,S/.,2.2,SAN JORGE
328,RELLENITA GN LIMON X 5 PK X 8,S/.,2.2,SAN JORGE
329,RELLENITA GN MENTA X 5 PK X 8,S/.,2.2,SAN JORGE
330,RELLENITA GN CHOCOFRESA X 5 PK X 8,S/.,2.2,SAN JORGE
331,PANETON SAN JORGE 900GR,S/.,0,SAN JORGE
332,PANETON SAN JORGE 6X900GR,S/.,0,SAN JORGE
333,PANETON GIORGINO BOLSA X 800 GR,S/.,0,SAN JORGE
334,CHAMPIONS X 20 UN X 60 GR.,S/.,0.5,SAN JORGE
335,VAINILLA SAN JORGE FAM. X 20 UN X 120 GR.,S/.,1,SAN JORGE
336,ANIMALITO X 4 BL X 500 GR.,S/.,2.5,SAN JORGE
337,SODA SAN JORGE FAM. 20 UN X 85 GR.,S/.,1,SAN JORGE
338,ANIMALITO X 10 BL X 150 GR.,S/.,1,SAN JORGE
339,SODA SAN JORGE   PK X 7,S/.,3,SAN JORGE
340,CRACKNEL ORIGINAL X 20 UN X 140 GR.,S/.,1.2,SAN JORGE
341,WINDOW X 20 PK X 6,S/.,2.5,SAN JORGE
342,CRACKNEL INTEGRAL X 20 UN X 185 GR.,S/.,1.2,SAN JORGE
343,MINI CHIPS AHOY X 6 TIRAS X 8,S/.,1,MONDELEZ
344,CUA CUA RELAU X 6 DP X 30,S/.,14,MONDELEZ
345,MINI CUACUA X 6 TIRAS X 8,S/.,1,MONDELEZ
346,OREO ORIGINAL X 28 PK X 6,S/.,3,MONDELEZ
347,OREO CHOCOLATE X 28 PK X 6,S/.,0,MONDELEZ
348,DOÑA PEPA X 6 DP X 30,S/.,14,MONDELEZ
349,MINI RITZ X 7 TIRAS X 8,S/.,1,MONDELEZ
350,CHiPS AHOY X 24 PK X 6,S/.,5,MONDELEZ
351,CUA CUA 24X9X18G,S/.,0,MONDELEZ
352,HUEVITO CON-ENV X 20 X 55 UN.,S/.,3.6,TROME
353,BOLICINCO X 20 BL X 30,S/.,2.2,TROME
354,HUEVITO SIN-ENV X 20 X 55 UN.,S/.,3.5,TROME
355,WAZZU X 20 PK X 6,S/.,2.5,ALICORP SA
356,WAZZU X 8 DP X 20,S/.,8,ALICORP SA
357,CHOMP CHOC. X 8 PK X 6,S/.,2.5,ALICORP SA
358,CHOMP NARANJA X 8 PK X 6,S/.,2.5,ALICORP SA
359,DIVAS X 8 PK X 6,S/.,2.5,ALICORP SA
360,AGUA VICTORIA X 20 UN X 150 GR.,S/.,1,ALICORP SA
361,GLACITAS FRESA X 8 PK X 6,S/.,2.8,ALICORP SA
362,GLACITAS TOFFEE X 8 PK X 6,S/.,2.8,ALICORP SA
